Date,Open,High,Low,Close,Adj Close,Volume
2004-11-01,24.333300,24.400000,24.002199,24.134399,3.243588,13022955
2004-11-02,24.225599,25.104401,24.225599,25.011101,3.361414,29343690
2004-11-03,25.066700,25.333300,24.933300,25.247801,3.393226,19554300
2004-11-04,25.288900,25.377800,24.777800,24.897800,3.346187,10164285
2004-11-05,25.136700,25.400000,25.033300,25.073299,3.369773,10569195
2004-11-08,25.000000,25.261101,24.933300,25.004400,3.360513,7796565
2004-11-09,24.966700,25.459999,24.966700,25.083300,3.371117,10648440
2004-11-10,25.177799,25.506701,25.073299,25.398899,3.413533,13885605
2004-11-11,25.444401,25.622200,25.379999,25.517799,3.429513,13968045
2004-11-12,25.555599,25.687799,25.444401,25.512199,3.428760,2080800
2004-11-15,,,,,,
2004-11-16,25.622200,25.822201,25.444401,25.549999,3.433840,16268085
2004-11-17,23.553301,25.643299,23.553301,25.285601,3.398305,10997145
2004-11-18,25.288900,25.344400,24.945601,25.096701,3.372919,10857015
2004-11-19,25.266701,25.641100,25.114401,25.392200,3.412633,15837885
2004-11-22,24.781099,25.644400,24.781099,25.537800,3.432201,13804335
2004-11-23,25.600000,26.568899,25.600000,26.483299,3.559273,32864895
2004-11-24,26.555599,28.177799,26.555599,27.872200,3.745937,46722195
2004-11-25,27.888901,28.533300,27.704399,28.303301,3.803876,36979065
2004-11-26,,,,,,
2004-11-29,28.223301,28.995600,28.133301,28.691099,3.855994,24868170
2004-11-30,29.111099,29.217800,28.166700,28.639999,3.849127,28583550
2004-12-01,28.555599,29.260000,28.228901,28.658899,3.851667,33236325
2004-12-02,28.886700,28.886700,28.311100,28.563299,3.838819,25677270
2004-12-03,28.622200,29.111099,28.245600,28.459999,3.824935,18286065
2004-12-06,28.335600,28.555599,28.000000,28.126699,3.780141,16920045
2004-12-07,28.177799,28.575600,28.000000,28.343300,3.809251,12438360
2004-12-08,28.533300,28.566700,27.917801,28.141100,3.782077,11215395
2004-12-09,28.003300,28.555599,27.980000,28.385599,3.814936,10536345
2004-12-10,28.422199,28.438900,27.852200,28.153299,3.783715,12930525
2004-12-13,28.866699,28.866699,27.955601,28.144400,3.782519,11117745
2004-12-14,28.223301,28.608900,28.111099,28.411100,3.818363,17635950
2004-12-15,28.555599,28.855600,28.336700,28.438900,3.822099,17304030
2004-12-16,28.466700,28.600000,28.222200,28.324400,3.806711,11328615
2004-12-17,28.444401,28.444401,27.777800,27.898899,3.749525,10972800
2004-12-20,28.000000,28.222200,27.833300,28.143299,3.782372,8343540
2004-12-21,28.215599,29.331100,28.047800,29.153299,3.918113,21957075
2004-12-22,28.688900,29.555599,28.666700,29.017799,3.899902,24192585
2004-12-23,29.088900,29.222200,28.711100,28.888901,3.882578,16399035
2004-12-24,28.911100,29.000000,28.731100,28.863300,3.879138,5729760
2004-12-27,28.888901,29.333300,28.666700,29.106701,3.911850,10499445
2004-12-28,29.311100,29.555599,29.066700,29.327801,3.941564,12206340
2004-12-29,29.444401,29.755600,29.222200,29.379999,3.948581,16668720
2004-12-30,29.552200,29.555599,28.666700,28.762199,3.865550,14610420
2004-12-31,28.688900,29.218901,28.688900,29.127800,3.914686,7705350
2005-01-03,29.309999,29.533300,29.044399,29.181101,3.921849,6920055
2005-01-04,29.090000,29.422199,28.888901,29.211100,3.925882,6977565
2005-01-05,29.440001,29.440001,28.466700,28.817801,3.873023,14006925
2005-01-06,28.755600,28.755600,28.025600,28.371099,3.812988,10049355
2005-01-07,28.134399,29.042200,28.134399,28.893299,3.883169,9874665
2005-01-10,28.888901,28.888901,28.177799,28.321100,3.806268,6666165
2005-01-11,27.840000,28.777800,27.781099,28.253300,3.797156,6073065
2005-01-12,28.661100,28.844400,27.845600,28.245600,3.796120,16020405
2005-01-13,28.548901,28.548901,27.333300,27.654400,3.716665,12705615
2005-01-14,27.711100,28.066700,27.114401,27.844400,3.742201,13975065
2005-01-17,27.911100,27.911100,27.333300,27.617800,3.711746,10162170
2005-01-18,27.755600,28.097799,27.601101,27.778900,3.733397,14139495
2005-01-19,27.778900,28.000000,27.348900,27.564400,3.704570,7013790
2005-01-20,27.973301,30.955601,26.933300,30.641100,4.118069,131241105
2005-01-24,30.718901,30.799999,29.736700,29.927799,4.022202,31921695
2005-01-25,29.822201,31.263300,29.160000,30.203300,4.059230,62745975
2005-01-27,30.247801,31.088900,29.822201,30.764400,4.134639,50814675
2005-01-28,30.755600,31.488899,30.422199,31.095600,4.179152,42577335
2005-01-31,30.666700,31.222200,29.666700,30.255600,4.066258,55402470
2005-02-01,29.577801,30.600000,29.577801,30.001101,4.032054,48665385
2005-02-02,30.022200,30.022200,29.355600,29.453300,3.958432,14592690
2005-02-03,29.711100,29.771099,29.228901,29.546700,3.970984,29068335
2005-02-04,29.555599,30.086700,29.555599,29.817801,4.007420,17783865
2005-02-07,30.000000,30.639999,29.484400,29.604401,3.978740,25575885
2005-02-08,29.622200,29.622200,29.232201,29.343300,3.943648,9463860
2005-02-09,29.120001,29.709999,29.120001,29.496700,3.964265,13838625
2005-02-10,29.133301,29.623301,29.133301,29.571100,3.974263,8160480
2005-02-11,29.933300,30.422199,29.448900,29.644400,3.984115,8846460
2005-02-14,29.844400,30.000000,29.155600,29.309999,3.939173,9757845
2005-02-15,29.666700,29.666700,29.068899,29.173300,3.920800,12630195
2005-02-16,29.222200,29.397800,28.746700,29.007799,3.898558,28528065
